,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
41,5.12,16.01,0.59,jsat,3,10.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,18393.0044914
68,4.92,4.04,1.12,jsat,5,5.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,18571.9337831
57,5.53,11.14,0.36,jsat,4,2.5,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,18851.166534
71,9.01,24.98,0.14,jsat,5,2.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,18936.9017738
23,8.92,21.17,0.19,jsat,4.5,2.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,19237.3082073
94,5.84,10.29,0.8,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,19305.3798161
40,5.62,10.24,0.69,jsat,3,10.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,19691.7618442
114,3.12,7.23,0.51,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,20215.6261287
99,3.84,7.82,0.2,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,20376.1382269
61,9.13,23.14,0.34,jsat,4,2.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,20828.5052522
107,2.63,16.17,0.45,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,21417.6862605
81,6.54,19.74,0.09,jsat,3.5,2.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,21912.5582408
89,,7.43,1.13,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,22073.0556595
24,9.19,3.89,0.38,jsat,4.5,2.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,22269.6681207
72,9.28,7.7,0.33,jsat,5,2.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,22409.6180766
116,2.89,10.83,0.54,jsat,5,10.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,22712.5726571
115,3.39,5.06,0.44,jsat,5,10.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,23195.6921752
35,,7.38,1.24,jsat,3,10.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,23441.2110694
45,0.12,14.71,0.26,jsat,2?,3.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,23462.4880656
9,8.92,11.4,0.57,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,23729.6949626
109,2.4,19.77,0.42,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,23897.2005464
