,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
1197,0.09,7.19,0.92,jsat,2,3.5,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,22077.2675485
741,1.38,0.93,0.15,jsat,,3?,32235 (3.49-3.87),25.5696,0.0,0.962967,13.67,20.66,8.0,32931 (5.70-6.00),18.6992,10.9195,0.0,12.29,21.59,7.85,22129.9251614
1070,6.42,4.65,0.89,jsat,,4.5,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,34189 (5.25-5.50),18.8304,10.1737,0.0,14.92,19.55,7.5,22139.0628338
767,1.07,18.89,0.27,jsat,,2,32235 (4.03-5.00),25.5597,0.0,0.934225,13.68,20.18,7.49,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,22176.5048111
344,0.68,10.5,1.22,jsat,3,,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,22206.8574529
697,0.92,11.58,1.21,jsat,,,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,32235 (6.07-6.42),25.5268,0.0,0.862729,13.49,19.34,7.61,22237.7428555
485,1.86,0.58,0.03,jsat,,,32228 (5.22-5.50),25.7248,9.63407,,11.81,21.24,8.03,32235 (3.49-3.87),25.5696,0.0,0.962967,13.67,20.66,8.0,22337.2840408
140,8.04,9.58,0.12,jsat,2,3.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,22350.6743254
607,3.87,14.21,0.48,jsat,2,,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,22422.8167611
848,5.39,7.22,1.1,jsat,,,32235 (6.49-6.84),25.5133,0.0,0.274347,13.89,22.12,7.29,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,22468.657085
426,0.62,14.42,0.69,jsat,2,2,32228 (3.72-4.00),25.7514,4.76522,,11.99,24.65,7.91,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,22507.2127769
1088,6.16,8.18,1.82,jsat,,5,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,34189 (6.25-6.50),18.8269,13.0138,0.0,14.91,19.05,7.2,22548.0312909
328,3.14,13.61,1.02,jsat,3,,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,22624.3776845
19,9.45,3.46,1.71,jsat,2,,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,32235 (6.07-6.42),25.5268,0.0,0.862729,13.49,19.34,7.61,22775.6979638
1001,6.61,0.81,0.49,jsat,,3.5,32238 (6.40-6.80),9.4666,0.0,0.0482738,8.48,20.94,7.93,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,22965.8498534
726,2.34,11.29,1.62,jsat,,5,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,34189 (6.25-6.50),18.8269,13.0138,0.0,14.91,19.05,7.2,22968.4355913
736,5.17,5.76,0.39,jsat,,,32235 (3.49-3.87),25.5696,0.0,0.962967,13.67,20.66,8.0,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,23014.2578375
935,6.6,2.02,0.4,jsat,,3.5,32238 (3.58-3.84),9.47125,0.0,0.0842352,8.49,22.15,7.84,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,23065.2993405
891,6.62,4.03,0.36,jsat,,3.5,32237 (2.37-2.98),9.48679,0.0,0.0285357,8.47,24.16,7.8,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,23159.1000932
5,5.39,5.49,1.9,jsat,2,3,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,23260.6103436
48,10.87,3.17,1.3,jsat,2,5,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,34189 (6.25-6.50),18.8269,13.0138,0.0,14.91,19.05,7.2,23526.2766193
765,4.93,9.31,1.53,jsat,,,32235 (4.03-5.00),25.5597,0.0,0.934225,13.68,20.18,7.49,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,23589.9578193
217,2.96,13.72,0.52,jsat,2,2,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,23701.0205594
424,3.24,13.78,1.11,jsat,2,,32228 (3.72-4.00),25.7514,4.76522,,11.99,24.65,7.91,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,23764.7308351
695,1.11,12.42,1.33,jsat,,,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,32235 (4.03-5.00),25.5597,0.0,0.934225,13.68,20.18,7.49,24010.4293579
610,0.24,9.96,0.69,jsat,2,2,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,24098.8653957
408,0.58,16.89,0.91,jsat,2,,32228 (3.72-4.00),25.7514,4.76522,,11.99,24.65,7.91,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,24184.7011779
1035,6.64,2.33,0.52,jsat,,3.5,32239 (3.20-3.40),9.47453,0.0,0.0793621,8.45,22.46,7.96,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,24505.7678032
795,1.05,19.18,0.26,jsat,,2,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,24531.2517897
17,9.64,4.3,1.59,jsat,2,,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,32235 (4.03-5.00),25.5597,0.0,0.934225,13.68,20.18,7.49,24559.0259144
1113,3.19,14.67,0.15,jsat,2,2,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,24611.8409541
1158,0.38,18.13,0.19,jsat,,3.5,32932 (2.51-2.91),18.6118,0.02595,0.0,14.71,38.26,7.63,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,24676.4782204
7,7.95,8.77,2.01,jsat,2,2,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,32228 (3.72-4.00),25.7514,4.76522,,11.99,24.65,7.91,24682.4013572
